"REFERENCIA","CREDITOS","OFERTADA","NOMBRE","CURSO","CARACTER","DURACION","Unidad_Temporal_(Cuatrimestre)","IDIOMAS_DE_IMPARTICION","TITULACION_CODIGO","CODIGO"
"51035",6,"No  ","Fundamentos de Economía y Política Económica",4,"","1º Semestre",,"",1041,805
"51051",6,"Sí  ","Herramientas de Diseño Electrónico",4,"","1º Semestre",,"",1041,806
"51018",6,"Sí  ","Ingeniería de Protocolos",3,"","1º Semestre",,"",1041,807
"51019",6,"Sí  ","Inteligencia Artificial para Juegos",3,"","1º Semestre",,"",1041,808
"51010",6,"No  ","Programación Gráfica 3D",3,"","1º Semestre",,"",1041,809
"51057",6,"Sí  ","Redes Inalámbricas",3,"","1º Semestre",,"",1041,810
"51012",6,"No  ","Servicios Multimedia",3,"","1º Semestre",,"",1041,811
"51042",6,"No  ","Sistemas de Automatización",4,"","1º Semestre",,"",1041,812
"51014",6,"Sí  ","Teoría de Dominios y Modelos Denotacionales",3,"","1º Semestre",,"",1041,813
"51044",6,"Sí  ","Teoría de la Información y la Codificación",3,"","1º Semestre",,"",1041,814
"51026",6,"Sí  ","Visión por Computador",3,"","1º Semestre",,"",1041,815
"51030",6,"Sí  ","Arquitecturas Cluster",3,"","2º Semestre",,"",1041,850
"51730",6,"Sí  ","Arquitecturas Especializadas",4,"","2º Semestre",,"",1041,851
"51190",6,"Sí  ","Calidad de Software",4,"","2º Semestre",,"",1041,852
"51191",6,"Sí  ","Cognición y Comunicación en Ingeniería del Software",4,"","2º Semestre",,"",1041,853
"51192",6,"No  ","Desarrollo del Software Dirigido por Modelos",4,"","2º Semestre",,"",1041,854
"51048",6,"No  ","Diseño de Equipos y Sistemas Electrónicos",4,"","2º Semestre",,"",1041,855
"51049",6,"Sí  ","Electrónica para Domótica",3,"","2º Semestre",,"",1041,856
"51050",6,"Sí  ","Gestión Inteligente de la Información",4,"","2º Semestre",,"",1041,857
"51734",6,"No  ","Implementación Electrónica de Procesadores",4,"","2º Semestre",,"",1041,858
"51052",6,"No  ","Inteligencia Computacional",4,"","2º Semestre",,"",1041,859
"51020",6,"Sí  ","Laboratorio de Computación Científica",3,"","2º Semestre",,"",1041,860
"51053",6,"No  ","Lógica e Informática",4,"","2º Semestre",,"",1041,861
"51021",6,"Sí  ","Modelado y Simulación de Sistemas",3,"","2º Semestre",,"",1041,862
"51056",12,"Sí  ","Prácticas Externas",4,"","2º Semestre",,"",1041,863
"51039",6,"Sí  ","Procesamiento de Imágenes y Video",3,"","2º Semestre",,"",1041,864
"51040",6,"Sí  ","Programación de Robots",3,"","2º Semestre",,"",1041,865
"51023",6,"Sí  ","Programación de Videojuegos",3,"","2º Semestre",,"",1041,866
"51054",6,"No  ","Programación Declarativa",4,"","2º Semestre",,"",1041,867
"51738",6,"No  ","Sensores y Actuadores",4,"","2º Semestre",,"",1041,868
"51058",6,"Sí  ","Sistemas de Información para la Industria",4,"","2º Semestre",,"",1041,869
"51045",6,"No  ","Teoría de la Señal",4,"","2º Semestre",,"",1041,870
"51138",6,"Sí  ","Cálculo para la Computación",1,"","1º Semestre",,"",1042,101
"51139",6,"Sí  ","Fundamentos Físicos de la Informática",1,"","1º Semestre",,"",1042,102
"51140",6,"Sí  ","Fundamentos de Electrónica",1,"","1º Semestre",,"",1042,103
"51141",6,"Sí  ","Fundamentos de la Programación",1,"","1º Semestre",,"Solo un grupo",1042,104
"51142",6,"Sí  ","Matemática Discreta",1,"","1º Semestre",,"",1042,105
"51143",6,"Sí  ","Estructuras Algebraicas para la Computación",1,"","2º Semestre",,"",1042,106
"51144",6,"Sí  ","Métodos Estadísticos para la Computación",1,"","2º Semestre",,"",1042,107
"51145",6,"Sí  ","Organización Empresarial",1,"","2º Semestre",,"",1042,108
"51146",6,"Sí  ","Programación Orientada a Objetos",1,"","2º Semestre",,"Solo un grupo",1042,109
"53008",6,"Sí  ","Bioquímica Estructural",1,"","1º Semestre",,"",1056,101
"53009",6,"Sí  ","Cálculo",1,"","1º Semestre",,"",1056,102
"53010",6,"Sí  ","Fundamentos de la Programación",1,"","1º Semestre",,"",1056,103
"53011",6,"Sí  ","Física I",1,"","1º Semestre",,"",1056,104
"53012",6,"Sí  ","Álgebra Lineal",1,"","1º Semestre",,"",1056,105
"53013",6,"Sí  ","Ampliación de Cálculo",1,"","2º Semestre",,"",1056,106
"53014",6,"Sí  ","Estadística",1,"","2º Semestre",,"",1056,107
"53015",6,"Sí  ","Física II",1,"","2º Semestre",,"",1056,108
"53016",6,"Sí  ","Gestión de Empresas",1,"","2º Semestre",,"",1056,109
"53017",6,"Sí  ","Programación Orientada a Objetos",1,"","2º Semestre",,"",1056,110
"53109",6,"Sí  ","Ampliación de Matemáticas",2,"","1º Semestre",,"",1056,201
"53110",6,"Sí  ","Biología Molecular y Bioquímica",2,"","1º Semestre",,"",1056,202
"53111",6,"Sí  ","Circuitos y Máquinas Eléctricas",2,"","1º Semestre",,"",1056,203
"53112",6,"Sí  ","Electrónica",2,"","1º Semestre",,"",1056,204
"53113",6,"Sí  ","Estructuras de Datos y Algoritmos",2,"","1º Semestre",,"",1056,205
"53114",6,"Sí  ","Anatomía y Fisiología",2,"","2º Semestre",,"",1056,206
"53115",6,"Sí  ","Arquitectura de Computadores y Sistemas Operativos",2,"","2º Semestre",,"",1056,207
"53116",6,"Sí  ","Bases de Datos",2,"","2º Semestre",,"",1056,208
